lat,lon,d,v,s,h
48.38155,-102.8939,1,0,0,0
46.87426,-103.30269,1,0,0,0
48.51915,-102.89394,1,0,0,0
48.49027,-102.88335,1,0,0,0
48.34392,-102.88523,1,0,0,0
48.3366,-102.93391,1,0,0,0
48.34384,-102.92322,1,0,0,0
48.4758,-102.91574,1,0,0,0
48.44675,-102.89383,1,0,0,0
48.26778,-103.00324,1,0,0,0
48.42863,-102.91007,1,0,0,0
48.9836,-100.84201,1,0,0,0
47.8059,-102.85299,1,0,0,0
48.5228,-102.85619,1,0,0,0
48.11936,-102.90109,1,0,0,0
47.89264,-102.9441,1,0,0,0
48.45046,-102.8569,1,0,0,0
48.43585,-102.89953,1,0,0,0
48.29313,-102.98708,1,0,0,0
48.26048,-103.0033,1,0,0,0
48.31847,-102.91755,1,0,0,0
48.5264,-102.87254,1,0,0,0
48.60307,-103.08382,1,0,0,0
48.49028,-102.87769,1,0,0,0
48.40688,-102.91004,1,0,0,0
48.32571,-102.92841,1,0,0,0
48.48666,-102.8994,1,0,0,0
48.50105,-102.88852,1,0,0,0
48.00836,-102.93335,1,0,0,0
48.87434,-102.96979,1,0,0,0
48.56987,-102.96464,1,0,0,0
48.28953,-102.96,1,0,0,0
48.31483,-102.92293,1,0,0,0
48.33294,-102.92846,1,0,0,0
48.50834,-102.86715,1,0,0,0
48.75379,-100.624,1,0,0,0
48.8332,-100.26795,1,0,0,0
48.99458,-100.88634,1,0,0,0
48.49017,-102.79593,1,0,0,0
48.29674,-102.93918,1,0,0,0
48.50104,-102.89924,1,0,0,0
48.99092,-100.85308,1,0,0,0
48.44314,-102.88837,1,0,0,0
48.94304,-101.27387,1,0,0,0
48.53003,-102.86709,1,0,0,0
48.53361,-102.88324,1,0,0,0
47.96508,-102.71537,1,0,0,0
48.99093,-100.85858,1,0,0,0
48.08336,-102.928,1,0,0,0
46.69703,-103.00739,1,0,0,0
48.5156,-102.87807,1,0,0,0
48.52284,-102.86709,1,0,0,0
48.28228,-102.95011,1,0,0,0
48.7789,-100.33338,1,0,0,0
48.32209,-102.95984,1,0,0,0
48.45402,-102.89388,1,0,0,0
48.30036,-102.93375,1,0,0,0
48.2823,-102.97093,1,0,0,0
48.46487,-102.88852,1,0,0,0
48.54094,-102.85074,1,0,0,0
48.51166,-102.88325,0,0,0,1
48.47967,-102.9107,1,0,0,0
48.11592,-102.97108,1,0,0,0
48.29121,-100.41235,1,0,0,0
48.98101,-100.19049,1,0,0,0
48.14321,-100.40721,1,0,0,0
48.14695,-100.16926,1,0,0,0
48.65967,-100.63831,1,0,0,0
48.51557,-102.8562,1,0,0,0
48.2642,-103.00869,1,0,0,0
48.42501,-102.91548,1,0,0,0
48.44339,-102.90946,1,0,0,0
48.45401,-102.87242,1,0,0,0
48.46857,-102.87251,1,0,0,0
48.46033,-101.11712,1,0,0,0
48.52637,-102.88325,0,0,0,1
48.31123,-102.91749,1,0,0,0
48.49389,-102.8993,1,0,0,0
48.50111,-102.86719,1,0,0,0
46.87785,-103.3078,1,0,0,0
48.27141,-102.93918,1,0,0,0
47.30095,-101.82514,1,0,0,0
48.34388,-102.90152,1,0,0,0
48.45766,-102.91561,1,0,0,0
48.99105,-100.99004,1,0,0,0
48.34383,-102.93397,1,0,0,0
48.26424,-102.97635,1,0,0,0
48.35014,-100.26175,1,0,0,0
48.34022,-102.91777,1,0,0,0
48.26063,-102.98177,1,0,0,0
48.30037,-102.92299,1,0,0,0
48.40232,-101.6649,1,0,0,0
48.53364,-102.87255,1,0,0,0
48.52646,-102.85077,1,0,0,0
48.99109,-100.98454,1,0,0,0
48.30759,-102.92294,1,0,0,0
48.04003,-102.83083,1,0,0,0
48.45764,-102.88847,1,0,0,0
48.2823,-102.96551,1,0,0,0
48.46125,-102.88321,1,0,0,0
48.16278,-102.91834,1,0,0,0
48.31483,-102.9549,1,0,0,0
48.32569,-102.93927,1,0,0,0
48.56631,-102.93747,1,0,0,0
47.18749,-103.6803,1,0,0,0
48.26784,-102.97093,1,0,0,0
47.57522,-102.55837,1,0,0,0
48.30756,-102.9446,1,0,0,0
48.44678,-102.88307,1,0,0,0
48.51199,-102.68761,1,0,0,0
48.304,-102.91211,1,0,0,0
48.30397,-102.94999,1,0,0,0
48.44674,-102.90466,1,0,0,0
48.29313,-102.96538,1,0,0,0
48.46127,-102.90475,1,0,0,0
48.48304,-102.90484,1,0,0,0
48.32211,-102.90674,1,0,0,0
48.9646,-101.0024,1,0,0,0
48.08337,-102.93341,1,5,0,0
48.3185,-102.89049,1,0,0,0
48.32211,-102.90137,1,0,0,0
48.50836,-102.85625,1,0,0,0
48.52277,-102.88848,1,0,0,0
47.48881,-100.95878,1,0,0,0
48.29675,-102.92299,1,0,0,0
48.91891,-99.45766,1,0,0,0
48.48667,-102.91029,1,0,0,0
48.92766,-101.04155,1,0,0,0
48.26051,-102.9446,1,0,0,0
48.08338,-102.93881,1,0,0,0
48.53366,-102.86165,1,0,0,0
48.28952,-102.95006,1,0,0,0
48.33661,-102.91231,0,0,0,1
48.31849,-102.90669,1,0,0,0
48.25697,-102.98671,1,0,0,0
48.42138,-102.91002,1,0,0,0
48.46853,-102.90481,1,0,0,0
46.86699,-103.29206,1,0,0,0
48.76439,-101.59648,1,0,0,0
48.75525,-101.58266,1,0,0,0
48.76219,-101.56355,1,0,0,0
48.53006,-102.85619,1,0,0,0
48.47221,-102.92109,1,0,0,0
48.47578,-102.88332,1,0,0,0
48.11252,-102.88967,1,0,0,0
48.30037,-102.91756,1,5,0,0
48.98628,-100.77234,1,0,0,0
48.98611,-100.67342,1,0,0,0
48.15205,-102.89109,1,0,0,0
48.48305,-102.87255,1,0,0,0
48.48666,-102.87808,1,0,0,0
48.20975,-102.97633,1,0,0,0
48.47939,-102.88858,1,0,0,0
48.76244,-101.54988,1,0,0,0
48.47577,-102.89402,1,0,0,0
48.46128,-102.91564,1,0,0,0
48.75,-101.56359,1,0,0,0
48.4214,-102.9209,1,0,0,0
48.23858,-102.20007,1,0,0,0
48.26417,-102.93917,1,0,0,0
48.77702,-101.59648,1,0,0,0
48.08699,-102.93323,1,0,0,0
48.08698,-102.92391,1,0,0,0
48.32932,-102.94472,1,0,0,0
48.30398,-102.92833,1,0,0,0
48.54455,-102.85626,1,0,0,0
48.47581,-102.87255,1,0,0,0
48.29313,-102.92297,1,0,0,0
48.5373,-102.85622,1,0,0,0
48.24607,-102.93379,1,0,0,0
48.46126,-102.87246,1,0,0,0
48.46773,-102.8614,1,0,0,0
48.27503,-102.93375,1,0,0,0
48.26779,-102.93437,1,0,0,0
48.07974,-102.9225,1,0,0,0
48.45044,-102.86696,1,0,0,0
48.28954,-102.97085,1,0,0,0
48.53722,-102.88848,1,0,0,0
48.27508,-102.97093,1,0,0,0
48.28592,-102.96548,1,0,0,0
48.47218,-102.87803,0,0,0,1
48.46489,-102.91146,1,0,0,0
48.33657,-102.94469,1,0,0,0
48.31484,-102.95979,1,0,0,0
48.43974,-102.87195,1,0,0,0
48.91267,-100.37333,1,0,0,0
48.93517,-100.62383,1,0,0,0
47.06263,-102.63381,1,0,0,0
48.51916,-102.85082,1,0,0,0
48.38154,-102.90464,1,0,0,0
48.50465,-102.90482,0,0,0,1
48.54098,-102.8726,1,0,0,0
48.48668,-102.92118,1,0,0,0
48.4432,-102.87876,1,0,0,0
48.35114,-102.90698,1,0,0,0
48.11585,-102.88487,1,0,0,0
46.87061,-103.30781,1,0,0,0
48.07975,-102.9334,1,0,0,0
46.8779,-103.29731,1,0,0,0
48.49749,-102.86172,1,0,0,0
48.75766,-101.2262,1,0,0,0
48.26421,-102.96556,1,0,0,0
48.26055,-102.96553,1,0,0,0
47.6433,-103.10779,1,0,0,0
48.39953,-102.11142,1,0,0,0
48.20991,-102.98717,1,0,0,0
48.21344,-102.97091,1,0,0,0
48.08702,-102.94952,1,5,0,0
48.20616,-102.98175,1,0,0,0
48.25701,-102.97635,1,0,0,0
48.45045,-102.7908,1,0,0,0
48.15201,-102.90109,1,0,0,0
48.15572,-102.88489,1,0,0,0
48.47945,-102.92113,1,0,0,0
46.84193,-102.95489,1,0,0,0
48.10862,-102.8849,1,0,0,0
48.48305,-102.91573,1,0,0,0
48.09026,-102.93937,1,0,0,0
48.49342,-102.92114,1,0,0,0
48.76093,-100.50362,1,0,0,0
47.98408,-103.67148,1,0,0,0
48.06529,-102.9065,1,0,0,0
48.31144,-103.1442,1,0,0,0
48.70023,-103.31794,1,0,0,0
48.53369,-102.97579,1,0,0,0
48.07977,-102.94421,1,0,0,0
48.38879,-102.89382,1,0,0,0
48.94104,-99.61077,1,0,0,0
48.45762,-102.87788,0,0,0,1
47.19947,-103.37475,1,0,0,0
48.47586,-102.92591,1,0,0,0
46.85975,-103.29199,1,0,0,0
48.21704,-102.96568,1,0,0,0
48.33525,-100.10403,1,0,0,0
48.47217,-102.80199,1,0,0,0
48.25328,-102.96007,1,0,0,0
48.95364,-101.02448,1,0,0,0
48.94652,-100.99134,1,0,0,0
48.50475,-102.80721,1,0,0,0
47.95781,-102.72617,1,0,0,0
48.77859,-99.95563,1,0,0,0
48.98822,-99.78589,1,0,0,0
48.27864,-102.9872,1,0,0,0
48.74239,-100.11452,1,0,0,0
48.10861,-102.87944,1,0,0,0
48.49744,-102.91558,1,0,0,0
48.27148,-102.97635,1,0,0,0
48.52998,-102.89922,1,0,0,0
48.99101,-100.99554,1,0,0,0
48.22059,-102.97107,1,0,0,0
48.96642,-99.70914,1,0,0,0
48.4939,-102.86714,1,0,0,0
48.69936,-100.10538,1,0,0,0
48.04566,-100.29371,1,0,0,0
48.50839,-102.82373,1,0,0,0
48.39213,-102.89921,1,0,0,0
47.23817,-103.71735,1,0,0,0
47.93699,-101.1726,1,0,0,0
48.48306,-102.92598,1,0,0,0
48.21403,-102.99244,1,0,0,0
48.33631,-102.47465,1,0,0,0
48.246,-102.94998,1,0,0,0
48.47579,-102.80745,1,0,0,0
48.34748,-102.90695,1,0,0,0
48.64595,-102.8884,1,0,0,0
48.54816,-102.85628,1,0,0,0
46.87069,-103.2868,1,0,0,0
48.98227,-101.90912,1,0,0,0
48.48145,-99.94751,1,0,0,0
48.32332,-99.48909,1,0,0,0
48.27142,-102.92833,1,0,0,0
48.24274,-102.92841,1,0,0,0
48.45404,-102.78529,1,0,0,0
48.425,-102.9046,1,0,0,0
47.71168,-102.52258,1,0,0,0
48.22074,-102.96051,1,0,0,0
48.26054,-102.99245,1,0,0,0
48.49752,-102.80716,1,0,0,0
48.38159,-102.88307,0,0,0,1
46.89613,-103.22889,1,0,0,0
48.87225,-99.5723,1,5,0,0
48.84345,-99.61623,1,0,0,0
48.46855,-102.80733,1,0,0,0
48.2533,-102.99257,1,0,0,0
48.99749,-101.01917,1,0,0,0
48.2874,-99.63953,1,0,0,0
46.86335,-103.30776,1,0,0,0
48.39965,-102.89921,1,0,0,0
48.52999,-102.88843,1,0,0,0
48.53727,-102.86713,1,0,0,0
48.54092,-102.8617,0,0,0,1
48.0834,-102.94962,1,0,0,0
48.15187,-102.90109,1,0,0,0
