GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1007915.0,110007909674,2023.0,"Tyson Poultry, Inc., Cumming API",4990 Leland Drive,Cumming,GA,30041,FORSYTH COUNTY,TYSON FOODS INC,2200 W Don Tyson Parkway,Springdale,AR,72762,100.0,311613
1007916.0,110000344182,2023.0,Chemours Belle Plant,901 WEST DU PONT AVENUE,BELLE,WV,25015,Kanawha,THE CHEMOURS CO,1007 Market Street,Wilmington,DE,19898,100.0,325199
1007917.0,110000589612,2023.0,"ALABAMA RIVER CELLULOSE, LLC",2373 LENA LANDEGGER HWY,PERDUE HILL,AL,36470,MONROE COUNTY,KOCH INDUSTRIES INC,4111 E 37Th Street North,Wichita,KS,67220-3298,100.0,322110
1007918.0,110017425375,2023.0,FCA STERLING HEIGHTS ASSEMBLY PLANT,38111 VAN DYKE,STERLING HTS,MI,48312,MACOMB COUNTY,FCA NORTH AMERICA HOLDINGS LLC,1000 Chrysler Drive,Auburn Hills,MI,48326,100.0,336110
1007919.0,110001594695,2023.0,Sterling Power Plant,110 East Seneca St.,Sherrill,NY,13461,ONEIDA COUNTY,ALLIANCE ENERGY GROUP LLC,"310 K Street, Suite 200",Anchorage,AK,99501,100.0,221112
1007920.0,110001600232,2023.0,Batavia Energy,163 Cedar Street,Batavia,NY,14020,GENESEE COUNTY,ALLIANCE ENERGY GROUP LLC,"310 K Street, Suite 200",Anchorage,AK,99501,100.0,221112
1007921.0,110000452180,2023.0,NUCOR STEEL - ARKANSAS,7301 EAST COUNTY ROAD 142,BLYTHEVILLE,AR,72315,MISSISSIPPI COUNTY,NUCOR CORP,"1915 Rexford Road, Suite 400",Charlotte,NC,28211,100.0,331110
1007923.0,110032913024,2023.0,SUNCOR ENERGY (USA) COMMERCE CITY REFINERY,5801 BRIGHTON BLVD,COMMERCE CITY,CO,80022,ADAMS COUNTY,SUNCOR ENERGY (USA) INC,2235 W Lincolnway,Cheyenne,WY,82001,100.0,324110
1007925.0,110006662307,2023.0,GREENRIDGE RECLAMATION Landfill,234 LANDFILL RD,SCOTTDALE,PA,15683,WESTMORELAND COUNTY,REPUBLIC SERVICES INC,18500 N. ALLIED WAY,PHOENIX,AZ,85054,100.0,562212
1007927.0,110001200922,2023.0,CalPortland Company Oro Grande Plant,19409 National Trails Highway,Oro Grande,CA,92368,SAN BERNARDINO COUNTY,TAIHEIYO CEMENT USA INC,"2025 East Financial Way, Suite 200",Glendora,CA,91741,100.0,327310
1007929.0,110071161840,2023.0,"ATLANTIC ALUMINA, GRAMERCY OPERATIONS",1111 E AIRLINE HIGHWAY,GRAMERCY,LA,70052,ST. JAMES PARISH,GRAMERCY HOLDINGS I LLC,"1111 E Airline Highway, Suite 3370",Gramercy,LA,70052,100.0,331313
1007930.0,110010565067,2023.0,Big Cajun 1,7807 RIVER ROAD   HWY 415,JARREAU,LA,70749,Pointe Coupee,CLECO CORPORATE HOLDINGS LLC,2030 Donahue Ferry Road,Pineville,LA,71360,100.0,221112
1007931.0,110043802775,2023.0,Bayou Cove Peaking Power Plant,118 BERGEAUX ROAD,JENNINGS,LA,70546,Acadia,CLECO CORPORATE HOLDINGS LLC,2030 Donahue Ferry Road,Pineville,LA,71360,100.0,221112
1007932.0,110001853628,2023.0,CITY SAND & LANDFILL INC,46805 WILLOW RD,SUMPTER TWP,MI,48111,WAYNE COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007933.0,110001843694,2023.0,THE ANDERSONS MARATHON HOLDINGS LLC,26250 B DR N,ALBION,MI,49224,CALHOUN COUNTY,THE ANDERSONS INC,1947 Briarfield Blvd,Maumee,OH,43537,50.0,325193
1007934.0,110000334718,2023.0,Piramal Critical Care,3950 SCHELDEN CIRCLE,BETHLEHEM,PA,18017,NORTHAMPTON COUNTY,PIRAMAL HEALTHCARE INC,160 Greentree Drive,County Of Kent,DE,19904,100.0,325412
1007935.0,110064047222,2023.0,WASTE MANAGEMENT DISPOSAL SERVICE MOUNTAIN VIEW LANDFILL,9446 LETZBURG ROAD,GREENCASTLE,PA,17225,FRANKLIN COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007936.0,110000465719,2023.0,"Diamond Shamrock Refining Company, L.P.",6701 FM 119,SUNRAY,TX,79086,MOORE COUNTY,VALERO ENERGY CORP,1 Valero Way,San Antonio,TX,78249,100.0,324110
1007937.0,110000416005,2023.0,Arconic US LLC,4879 STATE STREET,BETTENDORF,IA,52722,SCOTT COUNTY,ARCONIC CORP,"201 Isabella Street, Suite 400",Pittsburgh,PA,15212,100.0,331315
1007939.0,110071160547,2023.0,Cartersville Gas System,155 Old Mill Road,Cartersville,GA,30120,BARTOW COUNTY,CITY OF CARTERSVILLE GEORGIA,155 Old Mill Road,Cartersville,GA,30120,100.0,221210
1007941.0,110071160499,2023.0,Cedar Falls Municipal Gas Utility,1 Utility Parkway,Cedar Falls,IA,50613,BLACK HAWK COUNTY,CEDAR FALLS UTILITIES,1 Utility Parkway,Cedar Falls,IA,50613,100.0,221210
1007942.0,110015862440,2023.0,CHS MCPHERSON REFINERY INC.,2000 SOUTH MAIN STREET,MCPHERSON,KS,67460,MCPHERSON COUNTY,CHS INC,5500 Cenex Drive,Inver Grove Heights,MN,55077,100.0,324110
1007943.0,110000743982,2023.0,P4 PRODUCTION L L C,1853 HIGHWAY 34,SODA SPRINGS,ID,83276,CARIBOU COUNTY,BAYER US HOLDING LP,100 Bayer Boulevard,Whippany,NJ,07981,100.0,325180
1007944.0,110000911960,2023.0,ECDC ENVIRONMENTAL,1111 WEST HIGHWAY 123,EAST CARBON,UT,84520,CARBON COUNTY,REPUBLIC SERVICES INC,18500 N. ALLIED WAY,PHOENIX,AZ,85054,100.0,562212
1007946.0,110008566845,2023.0,NUCOR STEEL DARLINGTON,300 STEEL MILL RD,DARLINGTON,SC,29540,DARLINGTON COUNTY,NUCOR CORP,"1915 Rexford Road, Suite 400",Charlotte,NC,28211,100.0,331110
1007949.0,110071161247,2023.0,"MIDWEST NATURAL GAS, INC.",3600 STH 157,LA CROSSE,WI,54602,LA CROSSE COUNTY,MIDWEST GAS COS INC,3600 Sth 157,La Crosse,WI,54601,100.0,221210
1007951.0,110063276146,2023.0,BRADLEY LANDFILL & RECYCLING CENTER,9227 TUJUNGA AVENUE,SUN VALLEY,CA,91352,LOS ANGELES COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
